time,lead_h,p10,p50,p90
2026-02-01 00:00:00,24,0.0,0.0,0.001
2026-02-01 01:00:00,24,0.0,0.0,0.0067
2026-02-01 02:00:00,24,0.0,0.0,0.0384
2026-02-01 03:00:00,24,0.0,0.0,0.3669
2026-02-01 04:00:00,24,0.0,0.099,0.5116
2026-02-01 05:00:00,24,0.0,0.0236,0.4196
2026-02-01 06:00:00,24,0.002,0.1283,0.4339
2026-02-01 07:00:00,24,0.0329,0.231,0.5496
2026-02-01 08:00:00,24,0.0315,0.2452,0.5656
2026-02-01 09:00:00,24,0.026,0.3081,0.6037
2026-02-01 10:00:00,24,0.0253,0.3243,0.6127
2026-02-01 11:00:00,24,0.0569,0.4862,0.8285
2026-02-01 12:00:00,24,0.0176,0.418,0.7938
2026-02-01 13:00:00,24,0.0291,0.4972,0.8745
2026-02-01 14:00:00,24,0.0385,0.518,0.8956
2026-02-01 15:00:00,24,0.0391,0.5185,0.9056
2026-02-01 16:00:00,24,0.0572,0.4445,0.9056
2026-02-01 17:00:00,24,0.0644,0.3974,0.8823
2026-02-01 18:00:00,24,0.0583,0.3907,0.8806
2026-02-01 19:00:00,24,0.13,0.4798,0.9227
2026-02-01 20:00:00,24,0.1356,0.5537,0.9604
2026-02-01 21:00:00,24,0.1358,0.5161,0.9511
2026-02-01 22:00:00,24,0.1364,0.544,0.9398
2026-02-01 23:00:00,24,0.1538,0.5038,0.9557
2026-02-02 00:00:00,24,0.1802,0.331,0.9265
2026-02-02 01:00:00,24,0.1506,0.3183,0.9418
2026-02-02 02:00:00,24,0.1413,0.3824,0.9175
2026-02-02 03:00:00,24,0.1703,0.4922,0.9503
2026-02-02 04:00:00,24,0.277,0.4739,0.9622
2026-02-02 05:00:00,24,0.1526,0.3792,0.9526
2026-02-02 06:00:00,24,0.2812,0.5216,0.9453
2026-02-02 07:00:00,24,0.3579,0.7146,0.9871
2026-02-02 08:00:00,24,0.398,0.8055,0.9855
2026-02-02 09:00:00,24,0.4116,0.849,0.987
2026-02-02 10:00:00,24,0.3329,0.8453,0.9936
2026-02-02 11:00:00,24,0.2548,0.841,1.0
2026-02-02 12:00:00,24,0.0058,0.5087,0.6709
